"name","id"
"1-Butanol","dr:D03200"
"1-Deoxynojirimycin","dr:D09605"
"1-ethyl nicotinate","dr:D03031"
"1-ethylnicotinate","dr:D03031"
"1-Hydroxypioglitazone","dr:D11603"
"1-Naphthylacetic acid","dr:D01558"
"1,1,1,2,3,3,3-Heptafluoropropane","dr:D10216"
"1,3-Butylene glycol","dr:D10695"
"1,3,5-Trimethoxybenzene","dr:D01792"
"1,4-Dimethyl-7-isopropylazulene","dr:D01037"
"10-Propargyl-10-deazaaminopterin","dr:D05589"
"131I-m-Iodobenzylguanidine","dr:D03308"
"1438","dr:D05803"
"15--3-methylpentadecanoic acid","dr:D06608"
"15-Deoxyspergualin","dr:D08032"
"17alpha-Estradiol","dr:D07121"
"17beta-di","dr:D07920"
"17beta-Estradiol hemisuccinate","dr:D07919"
"18DG","dr:D01843"
"2-Phenylphenol","dr:D08367"
"2-Propanone","dr:D02311"
"3-Amino-1-propanesulfonic acid","dr:D06202"
"3-Iodobenzylguanidine","dr:D01729"
"3,5-Dibromo-L-tyrosine","dr:D08659"
"3APS","dr:D06202"
"4-Aminobenzoic acid butyl","dr:D00730"
"4-Aminopyridine","dr:D04127"
"4-benzoic acid","dr:D09322"
"4-Dimethylaminophenol hydrochloride","dr:D07852"
"4-DMAP","dr:D07852"
"4-Hydroxyephedrine","dr:D08314"
"5-Aminolevulinic acid hydrochloride","dr:D02908"
"5-FC","dr:D00323"
"5-FU","dr:D00584"
"5'-Nitro-2'-propoxyacetanilid","dr:D07553"
"6-Mercaptopurine riboside","dr:D01678"
"935U-83","dr:D05695"
"99mTc-MIBI and tetrakis  copper  tetrafluoroboric acid","dr:D08763"
"A-hydrocort","dr:D00978"
"A-methapred","dr:D00751"
"A-SPM","dr:D02420"
"A.P.L.","dr:D06457"
"A180","dr:D07774"
"Abacavir","dr:D07057"
"abacavir and lamivudine","dr:D10600"
"Abacavir succinate","dr:D02734"
"Abacavir sulfate","dr:D00891"
"Abacavir sulfate and lamivudine","dr:D08775"
"Abaloparatide","dr:D10885"
"Abaloparatide acetate","dr:D11563"
"Abamectin","dr:D02777"
"Abametapir","dr:D10687"
"Abarelix","dr:D02738"
"Abatacept","dr:D03203"
"Abbokinase","dr:D03341"
"Abcid","dr:D01142"
"Abciximab","dr:D02778"
"Abecarnil","dr:D02594"
"Abediterol","dr:D10219"
"Abediterol napadisylate","dr:D10220"
"Abegrin","dr:D09342"
"Abemaciclib","dr:D10688"
"Abetimus sodium","dr:D03204"
"Abexinostat","dr:D10060"
"Abexinostat hydrochloride","dr:D10084"
"Abicipar pegol","dr:D11517"
"Abilify","dr:D01164"
"Abiraterone acetate","dr:D09701"
"Abivertinib","dr:D11308"
"Abivertinib maleate","dr:D11362"
"ABK","dr:D07462"
"Ablavar","dr:D04286"
"Ablukast","dr:D02739"
"Ablukast sodium","dr:D02741"
"Abobotulinumtoxin A","dr:D09764"
"Abovis","dr:D01955"
"ABPC","dr:D00204"
"Abraxane","dr:D00491"
