"name","id"
"Abri herba","ev:E00479"
"Abrus cantoniensis herb","ev:E00479"
"Abutili semen","ev:E00459"
"Abutilon seed","ev:E00459"
"Acacia","ev:E00007"
"Acanthopanax giraldii shaft bark","ev:E00594"
"Acanthopanax gracilistylus root bark","ev:E00593"
"Achyranthes aspera Achyranthes longifolia, Achyranthes bidentata root","ev:E00693"
"Achyranthes bidentata root","ev:E00094"
"Achyranthes fauriei root","ev:E00689"
"Achyranthes obtusifolia Achyranthes rubrofusca, Achyranthes longifolia root","ev:E00692"
"Aconitum carmichael daughter root","ev:E00575"
"Aconitum carmichaeli mother root","ev:E00256"
"Aconitum coreanum tuberous root","ev:E00580"
"Aconitum japonicum tuberous root","ev:E00359"
"Aconitum triphyllum tuberous root","ev:E00577"
"Aconitum tuberous root","ev:E00576"
"Acori graminei rhizoma","ev:E00210"
"Acorus gramineus rhizome","ev:E00210"
"Actinidia polygama gall","ev:E00349"
"Adenophora root","ev:E00208"
"Adenophrae radix","ev:E00208"
"Adlay","ev:E00845"
"Agar","ev:E00004"
"Agarwood","ev:E00281"
"Agglomerative substance of Bamboo","ev:E00294"
"Agkistrodon acutus","ev:E00516"
"Agkistrodon japonicae","ev:E00515"
"Agrimonia herb","ev:E00357"
"Ajugae herba","ev:E00481"
"Akebia fruit","ev:E00458"
"Akebia stem","ev:E00163"
"Akebiae fructus","ev:E00458"
"Akyo","ev:E00189"
"Albizzia bark","ev:E00358"
"Alcoholic beverage","ev:E00840"
"Alisma rhizome","ev:E00129"
"Allii chinensis bulbus","ev:E00427"
"Allii tuberosi folium","ev:E00861"
"Allii tuberosi semen","ev:E00444"
"Allium chinense bulb","ev:E00427"
"Allium leaf sheath","ev:E00347"
"Allium macrostemon bulb","ev:E00616"
"Allium tuberosum leaf","ev:E00861"
"Allium tuberosum seed","ev:E00444"
"Allolobophora caliginosa","ev:E00660"
"Allspice oil","ev:E00722"
"Allume","ev:E00862"
"Almond oil","ev:E00235"
"Alocasia odora rhizome","ev:E00423"
"Aloe","ev:E00055"
"Alpinia galanga fruit","ev:E00437"
"Alpinia katsumadai seed","ev:E00439"
"Alpinia offcinarum rhizome","ev:E00170"
"Alpiniae galangae fructus","ev:E00437"
"Alpiniae katsumadaii semen","ev:E00439"
"Aluminum silicate hydrate with silicon dioxide","ev:E00192"
"Ambergris","ev:E00519"
"Amblytropis multiflora root or herb","ev:E00627"
"Ambra grisea","ev:E00519"
"American ginseng","ev:E00406"
"Amethyst","ev:E00540"
"Amomi rotundi fructus","ev:E00344"
"Amomi tsaoko fructus","ev:E00438"
"Amomum fruit","ev:E00344"
"Amomum seed","ev:E00114"
"Amomum tsaoko fruit","ev:E00438"
"Ampelopsis root","ev:E00310"
"Amyda carapace","ev:E00225"
"Amydae testudo","ev:E00225"
"Amyris oil","ev:E00561"
"Anemarrhena rhizome","ev:E00131"
"Anemone altaica rhizome","ev:E00407"
"Anemone raddeana root","ev:E00420"
"Anemones raddeanae rhizoma","ev:E00420"
"Anethi fructus","ev:E00434"
"Anethum graveolens fruit","ev:E00434"
"Angelica","ev:E00759"
"Angelica dahurica root","ev:E00149"
"Angelica pubescens root","ev:E00228"
"Angelicae pubescentis radix","ev:E00228"
"Anise oil","ev:E00236"
"Anise oil","ev:E00712"
"Aniseed oil","ev:E00712"
"Antelopis cornu","ev:E00514"
"Aojiru","ev:E00858"
"Apricot kernel","ev:E00080"
"Apricot kernel water","ev:E00025"
"Aquilariae resinatum lignum","ev:E00281"
"Arabian myrrh","ev:E00584"
"Aralia elata bark tree, and root bark","ev:E00500"
"Aralia elata root bark","ev:E00216"
"Aralia rhizome","ev:E00186"
"Aralia root","ev:E00844"
"Araliae cordatae radix","ev:E00844"
"Araliae cortex","ev:E00216"
"Araliae cortex lignum et radicis cortex","ev:E00500"
"Ardisia crenata root","ev:E00667"
"Ardisia hortorum root","ev:E00669"
"Ardisia mamillata root","ev:E00670"
"Areca","ev:E00152"
"Areca fruit peel","ev:E00211"
"Areca pericarp","ev:E00211"
"Arecae pericarpium","ev:E00211"
"Arenaria juncea Silene fortunei, Silene jenisensis, Gypsophila oldhamiana root","ev:E00600"
"Arenaria serpyllifolia herb","ev:E00637"
"Arisaema tuber","ev:E00199"
"Arisaematis tuber","ev:E00199"
"Aristolochia fruit","ev:E00432"
"Aristolochia root","ev:E00360"
"Aristolochiae fructus","ev:E00432"
"Arnica","ev:E00758"
"Artemisia annua stem and leaf","ev:E00355"
"Artemisia capillaris Artemisia scoparia stem and leaf","ev:E00705"
"Artemisia capillaris flower","ev:E00056"
"Artemisia leaf","ev:E00191"
"Artemisiae capillaris flos","ev:E00056"
"Artemisiae folium","ev:E00191"
"Artichoke","ev:E00756"
"Asa foetida","ev:E00502"
"Asarum sagittarioides herb","ev:E00597"
